Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
39,Male,Masters,HR/Human Resources,10,105000,USA,Asian
38,Female,Masters,Software/Developer,10,155000,UK,Asian
35,Female,PhD,Manager/Director/VP,12,175000,Canada,Black
30,Female,High School,Sales,1,25000,UK,Mixed
23,Female,Bachelors,Software/Developer,1,50000,Australia,Australian
33,Male,PhD,Manager/Director/VP,10,155000,Canada,White
32,Male,Masters,Other,6,120000,Canada,Black
26,Male,Bachelors,Data Analyst/Scientist,2,50000,USA,Hispanic
24,Female,High School,Customer Service/Receptionist,0,25000,China,Korean
49,Female,PhD,Other,19,210000,China,Chinese
28,Female,Bachelors,Software/Developer,5,160000,UK,Welsh
29,Male,Bachelors,Software/Developer,4,140000,USA,Hispanic
27,Male,Bachelors,Software/Developer,4,140000,Canada,Asian
36,Female,Masters,Software/Developer,13,140010,Australia,White
30,Female,Bachelors,Manager/Director/VP,4,57000,UK,Asian
22,Female,High School,Customer Service/Receptionist,0,25000,Australia,Australian
36,Female,Masters,Software/Developer,14,141090,UK,Mixed
38,Female,Masters,Manager/Director/VP,9,100000,UK,Welsh
29,Female,Masters,Data Analyst/Scientist,6,180000,Australia,Australian
45,Female,PhD,Product/Designer,16,160000,UK,Asian
33,Female,Bachelors,Other,6,115000,Canada,Asian
32,Male,Bachelors,Software/Developer,8,180000,USA,Hispanic
31,Female,Masters,Manager/Director/VP,7,120000,UK,Mixed
36,Male,Bachelors,Software/Developer,8,135000,USA,Asian
25,Female,Masters,Marketing/Social Media,1,40000,Australia,Asian
25,Female,Masters,Data Analyst/Scientist,1,100000,China,White
42,Male,PhD,Software/Developer,14,170000,USA,African American
32,Female,Masters,Software/Developer,9,120000,Australia,White
26,Male,Bachelors,Manager/Director/VP,5,85000,USA,Hispanic
53,Male,Masters,Manager/Director/VP,25,180000,UK,Mixed
54,Male,PhD,Software/Developer,17,195000,Australia,Asian
32,Male,Masters,Software/Developer,6,130000,Australia,Asian
25,Female,Masters,Data Analyst/Scientist,1,100000,Canada,Black
37,Male,Bachelors,Data Analyst/Scientist,11,160000,Australia,Australian
28,Male,Bachelors,Software/Developer,3,85000,UK,Welsh
25,Female,High School,Sales,1,35000,Canada,White
30,Male,Masters,Data Analyst/Scientist,6,100000,China,Korean
34,Male,Bachelors,Software/Developer,3,50000,China,Chinese
34,Female,Masters,Manager/Director/VP,12,196000,UK,Mixed
28,Male,Bachelors,Software/Developer,2,70000,UK,Welsh
28,Male,Bachelors,Software/Developer,4,75000,UK,Asian
42,Male,PhD,Data Analyst/Scientist,14,140000,China,Korean
28,Male,Bachelors,Data Analyst/Scientist,3,52000,Canada,Black
24,Female,Bachelors,Software/Developer,1,60000,UK,White
39,Male,PhD,Manager/Director/VP,10,100000,China,Chinese
24,Male,Bachelors,Software/Developer,1,40000,Australia,White
24,Female,High School,Customer Service/Receptionist,0,25000,USA,Asian
46,Male,PhD,Software/Developer,16,185000,China,Korean
27,Male,Bachelors,Product/Designer,3,60000,Australia,Australian
49,Male,PhD,Software/Developer,15,185000,UK,Asian
29,Male,Bachelors,Product/Designer,3,60000,USA,Asian
