iter	RMSE
0	48742.02317
1	45370.74026
2	42288.08906
3	39818.58815
4	37441.48672
5	35408.13617
6	33402.6395
7	31519.54735
8	29779.62253
9	28463.05953
10	27215.21537
11	25973.29714
12	24958.33523
13	24130.85732
14	23341.39113
15	22688.82798
16	21964.07069
17	21196.25364
18	20591.07482
19	20188.23463
20	19672.72288
21	19319.3358
22	18854.2994
23	18446.6224
24	18136.05138
25	17911.27183
26	17656.15281
27	17356.35453
28	17156.25106
29	16984.8199
30	16855.03389
31	16750.5002
32	16582.45398
33	16375.04554
34	16276.85557
35	16212.12624
36	16042.87061
37	15847.3734
38	15671.59676
39	15593.84553
40	15441.21454
41	15307.15882
42	15204.49207
43	15082.08409
44	14981.81444
45	14835.62003
46	14758.96688
47	14629.86556
48	14513.23932
49	14472.9335
50	14390.27427
51	14287.96282
52	14215.51435
53	14143.95759
54	14110.14294
55	14035.26494
56	13973.80013
57	13916.62218
58	13894.72228
59	13854.83709
60	13766.22325
61	13695.28214
62	13667.54908
63	13650.43839
64	13574.11678
65	13517.87535
66	13447.81568
67	13399.15544
68	13356.62775
69	13260.55359
70	13207.76683
71	13150.29897
72	13100.11236
73	13030.56775
74	13000.5332
75	12929.56174
76	12926.57695
77	12856.56929
78	12804.07546
79	12772.12364
80	12728.31191
81	12671.42347
82	12636.87042
83	12575.75313
84	12538.03221
85	12466.25925
86	12407.99663
87	12351.38496
88	12349.50591
89	12348.58525
90	12303.87234
91	12286.22022
92	12234.6875
93	12180.34906
94	12148.79537
95	12122.85265
96	12075.62842
97	12038.41784
98	11996.21877
99	11955.91534
