iter	Passed	Remaining
0	5	500
1	10	518
2	15	486
3	17	421
4	22	434
5	27	428
6	31	421
7	37	425
8	42	427
9	46	421
10	51	416
11	56	411
12	60	405
13	65	401
14	70	399
15	75	395
16	79	390
17	85	391
18	91	390
19	96	384
20	101	381
21	105	375
22	110	369
23	116	367
24	120	360
25	124	355
26	129	349
27	133	344
28	138	339
29	143	334
30	148	330
31	152	324
32	157	319
33	161	313
34	166	309
35	170	303
36	175	298
37	180	294
38	184	288
39	189	283
40	193	278
41	198	273
42	202	269
43	207	264
44	212	259
45	216	254
46	221	249
47	226	244
48	230	240
49	236	236
50	240	231
51	245	226
52	250	221
53	254	217
54	259	212
55	264	208
56	269	203
57	273	198
58	278	193
59	282	188
60	287	183
61	292	179
62	296	174
63	301	169
64	306	164
65	310	160
66	315	155
67	319	150
68	324	145
69	329	141
70	333	136
71	338	131
72	343	127
73	348	122
74	353	117
75	357	113
76	359	107
77	364	102
78	368	98
79	373	93
80	378	88
81	382	84
82	389	79
83	394	75
84	399	70
85	404	65
86	409	61
87	413	56
88	415	51
89	417	46
90	421	41
91	426	37
92	431	32
93	436	27
94	440	23
95	445	18
96	450	13
97	455	9
98	460	4
99	464	0
