iter	RMSE
0	50666.91214
1	48868.07391
2	47090.31299
3	45499.20408
4	43912.38581
5	42501.60551
6	41173.05126
7	39896.94975
8	38628.98238
9	37597.2518
10	36617.86802
11	35684.08984
12	34726.42713
13	33859.55593
14	33043.71842
15	32282.8207
16	31563.3822
17	30853.20927
18	30224.06277
19	29671.12942
20	29093.71258
21	28621.17377
22	28140.08998
23	27759.20045
24	27333.9629
25	26859.02218
26	26475.38667
27	26083.62581
28	25720.71323
29	25360.80462
30	25100.51074
31	24877.61694
32	24582.4613
33	24299.39747
34	24022.69357
35	23743.18119
36	23570.58258
37	23345.69807
38	23138.2576
39	22953.01891
40	22792.62507
41	22625.60988
42	22496.63745
43	22343.46471
44	22149.19714
45	21989.05321
46	21817.0464
47	21684.33784
48	21569.61452
49	21418.19977
50	21294.31448
51	21168.13434
52	21072.60655
53	21002.03535
54	20880.08336
55	20793.54892
56	20646.31136
57	20570.59413
58	20514.16439
59	20415.13399
60	20370.78016
61	20262.19481
62	20161.7647
63	20082.36938
64	19994.55508
65	19922.21766
66	19843.2848
67	19778.80978
68	19711.79894
69	19640.55026
70	19611.95429
71	19544.74928
72	19470.87808
73	19421.90418
74	19365.75493
75	19304.53151
76	19246.00829
77	19204.51028
78	19114.18045
79	19076.24269
80	19017.66162
81	18926.20551
82	18848.18741
83	18777.29474
84	18682.61555
85	18665.83114
86	18605.05584
87	18573.83984
88	18546.58835
89	18449.17631
90	18368.57024
91	18319.55773
92	18282.37684
93	18212.85506
94	18191.4527
95	18140.31292
96	18120.64477
97	18061.31218
98	18004.07368
99	17950.81979
100	17926.60727
101	17911.73153
102	17855.90623
103	17805.14887
104	17769.39178
105	17741.88204
106	17708.67157
107	17675.73388
108	17636.46597
109	17576.22271
110	17536.433
111	17530.42453
112	17504.1958
113	17462.72392
114	17405.60655
115	17379.9072
116	17321.05566
117	17288.86559
118	17240.91208
119	17195.64829
120	17137.65724
121	17104.33499
122	17032.56003
123	16993.62886
124	16966.65317
125	16939.00593
126	16919.79156
127	16900.77909
128	16848.97108
129	16830.86092
130	16780.1663
131	16751.70956
132	16717.57185
133	16675.09888
134	16661.68811
135	16645.55568
136	16624.83186
137	16572.22833
138	16544.08489
139	16517.88518
140	16479.49894
141	16428.49828
142	16392.0776
143	16359.18269
144	16314.69328
145	16277.6765
146	16228.13447
147	16199.58401
148	16172.24501
149	16154.82285
150	16133.50208
151	16125.32412
152	16110.71761
153	16054.95198
154	16038.10822
155	15990.94896
156	15962.96485
157	15912.55641
158	15866.55285
159	15849.76327
160	15816.20106
161	15786.98037
162	15756.5737
163	15737.36657
164	15704.2264
165	15674.75465
166	15639.83793
167	15634.80425
168	15615.83371
169	15577.76565
170	15550.31931
171	15536.11326
172	15493.26676
173	15471.81802
174	15460.90667
175	15453.96129
176	15422.51205
177	15403.7708
178	15381.10116
179	15337.20439
180	15319.81714
181	15294.36126
182	15256.98411
183	15245.08379
184	15222.18461
185	15208.19652
186	15186.45297
187	15175.62188
188	15147.9954
189	15136.7941
190	15108.77914
191	15081.54658
192	15064.92714
193	15039.98204
194	15018.19429
195	14989.58575
196	14967.82593
197	14954.64531
198	14924.37507
199	14910.44938
200	14890.8336
201	14880.95856
202	14867.22973
203	14844.01255
204	14825.87682
205	14802.22395
206	14783.00911
207	14765.28583
208	14748.41066
209	14726.06903
210	14713.37151
211	14707.49049
212	14690.1486
213	14670.77548
214	14655.5176
215	14645.89667
216	14632.98904
217	14619.28092
218	14599.22715
219	14587.64077
220	14577.04042
221	14560.85095
222	14550.82492
223	14519.31764
224	14510.23042
225	14490.81216
226	14478.91863
227	14468.71712
228	14457.40041
229	14421.20568
230	14404.88109
231	14390.19991
232	14386.45556
233	14377.72767
234	14360.41147
235	14343.00534
236	14332.83437
237	14317.73924
238	14302.17193
239	14299.52492
240	14290.63308
241	14258.42369
242	14247.3582
243	14231.50541
244	14211.70951
245	14199.1824
246	14186.80957
247	14177.71409
248	14159.90313
249	14143.55513
250	14131.81755
251	14118.77711
252	14096.92455
253	14078.6252
254	14049.20505
255	14022.26914
256	14013.83566
257	14000.90526
258	13983.22792
259	13980.78342
260	13961.25085
261	13952.48249
262	13936.24814
263	13929.13712
264	13916.70832
265	13902.78078
266	13868.85776
267	13856.2515
268	13846.47685
269	13821.91833
270	13811.53537
271	13788.68389
272	13778.5168
273	13766.90693
274	13752.52372
275	13741.15121
276	13726.56575
277	13724.26306
278	13714.8555
279	13700.86082
280	13693.82473
281	13684.44499
282	13673.36995
283	13670.61084
284	13659.46673
285	13648.05574
286	13626.39178
287	13620.24607
288	13614.92523
289	13608.10094
290	13606.72657
291	13602.52566
292	13598.00124
293	13580.61805
294	13571.00097
295	13550.14066
296	13531.02728
297	13522.51363
298	13520.63001
299	13510.03739
300	13491.88464
301	13466.61783
302	13458.06439
303	13439.91637
304	13437.43554
305	13423.36731
306	13407.23545
307	13393.45829
308	13382.14877
309	13379.83725
310	13368.86329
311	13359.01463
312	13345.27538
313	13329.22502
314	13313.71709
315	13305.9674
316	13290.78701
317	13280.6828
318	13273.18605
319	13265.006
320	13256.5851
321	13242.58396
322	13241.13509
323	13234.21242
324	13228.61763
325	13214.79715
326	13202.65434
327	13185.2909
328	13181.50327
329	13178.47806
330	13166.23924
331	13154.9225
332	13153.40788
333	13152.15551
334	13139.6596
335	13117.54327
336	13103.97518
337	13089.42553
338	13077.6845
339	13073.11241
340	13072.30974
341	13059.19635
342	13051.26443
343	13039.96544
344	13038.19768
345	13030.15464
346	13027.28779
347	13016.26926
348	13002.43809
349	12987.77017
350	12968.40825
351	12960.85892
352	12951.21937
353	12942.1992
354	12941.06922
355	12927.10777
356	12920.09284
357	12912.56309
358	12906.75131
359	12899.9654
360	12888.53161
361	12868.33897
362	12867.52778
363	12866.81863
364	12855.7082
365	12851.40079
366	12845.29334
367	12844.59843
368	12843.29921
369	12834.63344
370	12828.47122
371	12817.92753
372	12809.576
373	12801.88032
374	12792.52721
375	12791.55978
376	12782.69135
377	12770.80453
378	12751.46888
379	12743.5026
380	12735.7621
381	12729.60833
382	12728.92347
383	12718.73365
384	12706.48879
385	12705.57417
386	12704.97207
