iter	Passed	Remaining
0	216	216586
1	219	109404
2	221	73624
3	224	55948
4	227	45181
5	231	38434
6	234	33265
7	237	29394
8	239	26378
9	241	23949
10	247	22275
11	250	20597
12	252	19179
13	255	17965
14	257	16892
15	262	16153
16	267	15471
17	270	14733
18	272	14066
19	278	13668
20	282	13146
21	285	12700
22	288	12241
23	295	12022
24	298	11658
25	302	11318
26	304	10971
27	311	10813
28	314	10536
29	318	10297
30	321	10058
31	326	9888
32	330	9681
33	334	9493
34	345	9522
35	348	9339
36	357	9296
37	360	9133
38	363	8952
39	365	8775
40	372	8707
41	376	8580
42	380	8470
43	388	8447
44	392	8319
45	394	8181
46	397	8051
47	403	8002
48	407	7910
49	410	7801
50	417	7760
51	420	7658
52	422	7549
53	424	7442
54	427	7352
55	434	7332
56	437	7244
57	440	7148
58	443	7071
59	449	7036
60	452	6958
61	454	6874
62	457	6798
63	459	6721
64	466	6704
65	468	6634
66	474	6614
67	481	6603
68	484	6534
69	486	6467
70	489	6400
71	491	6335
72	494	6281
73	496	6218
74	499	6157
75	502	6107
76	505	6057
77	510	6034
78	513	5985
79	517	5947
80	519	5896
81	527	5903
82	529	5852
83	532	5802
84	534	5752
85	540	5748
86	543	5704
87	546	5666
88	549	5620
89	552	5581
90	558	5573
91	563	5562
92	565	5517
93	570	5500
94	574	5474
95	578	5451
96	586	5462
97	591	5440
98	594	5412
99	598	5390
100	604	5383
101	609	5364
102	613	5346
103	621	5356
104	625	5328
105	628	5299
106	635	5300
107	639	5278
108	643	5256
109	647	5237
110	651	5218
111	658	5222
112	665	5227
113	669	5206
114	673	5182
115	682	5199
116	685	5171
117	688	5142
118	691	5117
119	699	5126
120	702	5100
121	704	5073
122	708	5048
123	713	5041
124	716	5015
125	719	4988
126	721	4960
127	725	4944
128	729	4922
129	734	4913
130	736	4885
131	738	4858
132	744	4850
133	746	4824
134	748	4799
135	751	4772
136	753	4746
137	757	4733
138	760	4711
139	763	4688
140	765	4665
141	769	4647
142	772	4632
143	776	4613
144	778	4591
145	781	4568
146	783	4545
147	785	4522
148	791	4517
149	793	4495
150	795	4473
151	798	4452
152	802	4445
153	805	4423
154	807	4403
155	810	4382
156	812	4362
157	814	4341
158	819	4332
159	821	4312
160	823	4293
161	826	4274
162	828	4254
163	832	4243
164	835	4226
165	837	4207
166	840	4191
167	842	4173
168	845	4155
169	849	4147
170	852	4131
171	856	4124
172	860	4113
173	866	4114
174	870	4103
175	884	4140
176	887	4127
177	890	4110
178	892	4095
179	898	4091
180	901	4077
181	903	4060
182	906	4044
183	908	4028
184	913	4024
185	916	4010
186	919	3995
187	922	3983
188	924	3967
189	930	3967
190	933	3953
191	935	3938
192	938	3924
193	941	3909
194	946	3908
195	949	3895
196	956	3897
197	963	3900
198	965	3886
199	968	3874
200	971	3861
201	978	3863
202	981	3852
203	984	3839
204	986	3825
205	990	3818
206	994	3808
207	996	3794
208	998	3780
209	1001	3766
210	1003	3753
211	1007	3744
212	1010	3733
213	1012	3720
214	1015	3706
215	1017	3692
216	1024	3695
217	1026	3681
218	1028	3669
219	1031	3656
220	1036	3654
221	1039	3642
222	1041	3630
223	1046	3624
224	1050	3618
225	1053	3607
226	1055	3594
227	1057	3581
228	1061	3573
229	1067	3575
230	1075	3579
231	1079	3574
232	1088	3581
233	1092	3574
234	1100	3582
235	1105	3579
236	1108	3569
237	1112	3561
238	1118	3560
239	1123	3556
240	1127	3551
241	1138	3564
242	1141	3556
243	1148	3557
244	1152	3550
245	1156	3543
246	1159	3535
247	1166	3536
248	1170	3531
249	1174	3524
250	1181	3524
251	1185	3519
252	1189	3512
253	1194	3507
254	1198	3502
255	1202	3493
256	1204	3483
257	1209	3479
258	1213	3470
259	1215	3460
260	1218	3450
261	1221	3441
262	1232	3452
263	1235	3444
264	1242	3445
265	1245	3438
266	1249	3428
267	1251	3418
268	1255	3411
269	1263	3414
270	1266	3405
271	1268	3395
272	1274	3393
273	1277	3383
274	1280	3375
275	1284	3369
276	1292	3374
277	1297	3368
278	1301	3362
279	1309	3367
280	1312	3359
281	1317	3353
282	1324	3355
283	1327	3347
284	1331	3340
285	1336	3335
286	1340	3329
287	1357	3355
288	1361	3349
289	1365	3341
290	1373	3346
291	1379	3345
292	1386	3345
293	1393	3345
294	1398	3343
295	1404	3339
296	1408	3332
297	1416	3337
298	1420	3329
299	1424	3322
300	1427	3315
301	1434	3316
302	1438	3308
303	1441	3299
304	1443	3289
305	1448	3284
306	1450	3274
307	1452	3264
308	1455	3254
309	1457	3243
310	1459	3233
311	1463	3226
312	1465	3217
313	1467	3206
314	1470	3198
315	1473	3188
316	1478	3185
317	1480	3176
318	1483	3165
319	1485	3156
320	1487	3146
321	1489	3136
322	1495	3133
323	1498	3127
324	1501	3118
325	1504	3109
326	1506	3101
327	1510	3094
328	1513	3085
329	1515	3077
330	1518	3068
331	1524	3067
332	1528	3060
333	1530	3051
334	1532	3042
335	1535	3034
336	1539	3028
337	1542	3020
338	1544	3011
339	1546	3002
340	1548	2992
341	1551	2984
342	1558	2984
343	1560	2976
344	1563	2967
345	1565	2958
346	1567	2949
347	1572	2945
348	1574	2936
349	1576	2927
350	1578	2919
351	1580	2910
352	1583	2903
353	1589	2901
354	1592	2892
355	1594	2884
356	1596	2875
357	1599	2867
358	1603	2863
359	1605	2854
360	1608	2846
361	1610	2838
362	1612	2830
363	1614	2821
364	1619	2817
365	1622	2810
366	1624	2802
367	1628	2796
368	1630	2787
369	1633	2782
370	1636	2774
371	1638	2766
372	1641	2758
373	1643	2750
374	1645	2742
375	1649	2738
376	1652	2730
377	1654	2722
378	1657	2715
379	1659	2708
380	1661	2700
381	1666	2695
